;success;timestamp;base;date;rates
AED;True;1657670399;EUR;2022-07-13;3.681182
AFN;True;1657670399;EUR;2022-07-13;88.824248
ALL;True;1657670399;EUR;2022-07-13;116.975218
AMD;True;1657670399;EUR;2022-07-13;415.006276
ANG;True;1657670399;EUR;2022-07-13;1.819359
AOA;True;1657670399;EUR;2022-07-13;430.60593
ARS;True;1657670399;EUR;2022-07-13;127.633869
AUD;True;1657670399;EUR;2022-07-13;1.490777
AWG;True;1657670399;EUR;2022-07-13;1.801454
AZN;True;1657670399;EUR;2022-07-13;1.69289
BAM;True;1657670399;EUR;2022-07-13;1.952265
BBD;True;1657670399;EUR;2022-07-13;2.038268
BDT;True;1657670399;EUR;2022-07-13;94.402606
BGN;True;1657670399;EUR;2022-07-13;1.955401
BHD;True;1657670399;EUR;2022-07-13;0.377813
BIF;True;1657670399;EUR;2022-07-13;2078.047449
BMD;True;1657670399;EUR;2022-07-13;1.0022
BND;True;1657670399;EUR;2022-07-13;1.416066
BOB;True;1657670399;EUR;2022-07-13;6.950308
BRL;True;1657670399;EUR;2022-07-13;5.390328
BSD;True;1657670399;EUR;2022-07-13;1.009447
BTC;True;1657670399;EUR;2022-07-13;5.037856e-05
BTN;True;1657670399;EUR;2022-07-13;80.131467
BWP;True;1657670399;EUR;2022-07-13;12.827076
BYN;True;1657670399;EUR;2022-07-13;2.594961
BYR;True;1657670399;EUR;2022-07-13;19643.116641
BZD;True;1657670399;EUR;2022-07-13;2.034774
CAD;True;1657670399;EUR;2022-07-13;1.304979
CDF;True;1657670399;EUR;2022-07-13;2006.903476
CHF;True;1657670399;EUR;2022-07-13;0.985343
CLF;True;1657670399;EUR;2022-07-13;0.036073
CLP;True;1657670399;EUR;2022-07-13;995.354899
CNY;True;1657670399;EUR;2022-07-13;6.747408
COP;True;1657670399;EUR;2022-07-13;4588.952751
CRC;True;1657670399;EUR;2022-07-13;693.619502
CUC;True;1657670399;EUR;2022-07-13;1.0022
CUP;True;1657670399;EUR;2022-07-13;26.558295
CVE;True;1657670399;EUR;2022-07-13;110.064006
CZK;True;1657670399;EUR;2022-07-13;24.599497
DJF;True;1657670399;EUR;2022-07-13;179.711819
