;rates
AED;3.695012
AFN;88.555384
ALL;117.052425
AMD;415.892635
ANG;1.813612
AOA;435.203789
ARS;128.773071
AUD;1.488675
AWG;1.80825
AZN;1.701319
BAM;1.956706
BBD;2.03191
BDT;94.544744
BGN;1.957305
BHD;0.379193
BIF;2071.75789
BMD;1.005981
BND;1.411423
BOB;6.918499
BRL;5.445784
BSD;1.006351
BTC;4.8397625e-05
BTN;80.326876
BWP;12.885299
BYN;2.540038
BYR;19717.218866
BZD;2.028509
CAD;1.314671
CDF;2014.478244
CHF;0.984744
CLF;0.038308
CLP;1057.034004
CNY;6.794794
COP;4519.38776
CRC;687.307829
CUC;1.005981
CUP;26.658485
CVE;110.314407
CZK;24.562828
DJF;179.150237
DKK;7.442757
DOP;54.935604
DZD;148.021017
EGP;18.999555
ERN;15.089708
ETB;52.524925
EUR;1.0
FJD;2.243588
FKP;0.847375
GBP;0.849772
GEL;2.957535
GGP;0.847375
GHS;8.176462
GIP;0.847375
GMD;54.413719
GNF;8729.409692
GTQ;7.788988
GYD;210.544298
HKD;7.896907
HNL;24.74008
HRK;7.518805
HTG;116.611227
HUF;403.740526
IDR;15085.835291
ILS;3.50456
IMP;0.847375
INR;80.318443
IQD;1468.832761
IRR;42603.276942
ISK;138.895412
JEP;0.847375
JMD;152.675244
JOD;0.714443
JPY;139.483727
KES;119.057645
KGS;81.453641
KHR;4111.106899
KMF;467.403707
KPW;905.382491
KRW;1333.39674
KWD;0.30987
KYD;0.838692
KZT;485.107268
LAK;15128.675769
LBP;1521.58148
LKR;362.302676
LRD;153.410614
LSL;15.934424
LTL;2.970399
LVL;0.608507
LYD;4.904397
MAD;10.504805
MDL;19.442308
MGA;4237.157721
MKD;61.614115
MMK;1863.341843
MNT;3163.466802
MOP;8.13717
MRO;359.134885
MUR;45.420169
MVR;15.44182
MWK;1032.903613
MXN;20.920814
MYR;4.475575
MZN;64.211568
NAD;15.934113
NGN;417.803255
NIO;36.08216
NOK;10.272077
NPR;128.530871
NZD;1.637807
OMR;0.38732
PAB;1.006351
PEN;3.93016
PGK;3.591741
PHP;56.684023
PKR;212.097898
PLN;4.794518
PYG;6903.291818
QAR;3.662787
RON;4.940273
RSD;117.382851
RUB;58.598131
RWF;1037.984888
SAR;3.777263
SBD;8.20877
SCR;12.882013
SDG;459.197453
SEK;10.596788
SGD;1.411441
SHP;1.385634
SLL;13248.764039
SOS;587.988828
SRD;22.617961
STD;20821.766409
SVC;8.805944
SYP;2527.555752
SZL;17.289243
THB;36.874255
TJS;10.365242
TMT;3.530992
TND;3.081824
TOP;2.379194
TRY;17.547007
TTD;6.835361
TWD;30.122579
TZS;2345.947119
UAH;29.735518
UGX;3793.899196
USD;1.005981
UYU;41.35052
UZS;11019.61542
VND;23595.273903
VUV;119.607089
WST;2.737243
XAF;656.263972
XAG;0.054461
XAU;0.00059
XCD;2.718713
XDR;0.76966
XOF;656.250919
XPF;113.826819
YER;251.746309
ZAR;17.288269
ZMK;9055.015491
ZMW;16.529003
ZWL;323.925328
